address,county,bed,bath,prop_type,area,price,price_n
"Split Hills, Clonmellon, Co. Westmeath", Co. Westmeath,4 Bed,3 Bath,Detached,251 m²,"€395,000",395000.0
"Sheean, Rathangan, Co. Kildare", Co. Kildare,3 Bed,4 Bath,Detached,255 m²,"€480,000",480000.0
"Gaurus, Ennis, Co. Clare", Co. Clare,4 Bed,2 Bath,Detached,127 m²,"€297,500",297500.0
"Mary Street, Youghal, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,81 m²,"€175,000",175000.0
"71 Slievekeale Road, Co. Waterford", Co. Waterford,3 Bed,2 Bath,End of Terrace,,"€150,000",150000.0
"2 Grattan Park, Grattan Road, Co. Galway", Co. Galway,5 Bed,5 Bath,Detached,190 m²,"€850,000",850000.0
"111 Browneshill Wood, Browneshill, Carlow Town, Co. Carlow", Co. Carlow,4 Bed,3 Bath,Detached,144 m²,"€309,500",309500.0
"Corboy Lodge, Killoe, Longford Town, Co. Longford", Co. Longford,,,Site,0.6 ac,"€240,000",240000.0
"Hatherton, Richmond Avenue South, Dartry, Dublin 6", Dublin 6,6 Bed,6 Bath,Detached,696 m²,"€6,450,000",6450000.0
"Líos Carraig, Kilcurly, Croom, Co. Limerick", Co. Limerick,4 Bed,3 Bath,Detached,257 m²,"€595,000",595000.0
"Wilford House, Shankill, Dublin 18", Dublin 18,6 Bed,6 Bath,Detached,645 m²,"€3,750,000",3750000.0
"39 Mulberry Park, Ballinode, Co. Sligo", Co. Sligo,3 Bed,1 Bath,Semi-D,103 m²,"€155,000",155000.0
"Quilly, 1a The Crescent, Lucan, Co. Dublin", Co. Dublin,3 Bed,2 Bath,Terrace,195 m²,"€850,000",850000.0
"43 Castlewoods, Ballinamona, Co. Waterford", Co. Waterford,5 Bed,4 Bath,Detached,418 m²,"€825,000",825000.0
"1 Togher Pé¡irc, Roundwood, Co. Wicklow", Co. Wicklow,4 Bed,3 Bath,Detached,222 m²,"€585,000",585000.0
"Lissameen, Moatfarrell, Edgeworthstown, Co. Longford", Co. Longford,4 Bed,4 Bath,Detached,366 m²,"€420,000",420000.0
"An Clair, Drumnahoagh, Letterkenny, Co. Donegal", Co. Donegal,4 Bed,2 Bath,Detached,185 m²,"€369,000",369000.0
"Tierlahood, Stradone, Co. Cavan", Co. Cavan,5 Bed,6 Bath,Detached,307 m²,"€260,000",260000.0
"Marlhill, Ardfinnan, Co. Tipperary", Co. Tipperary,5 Bed,3 Bath,Detached,268 m²,"€449,000",449000.0
"98 Whitehall Road West, Perrystown, Dublin 12", Dublin 12,3 Bed,1 Bath,Terrace,89 m²,"€450,000",450000.0
"Apartment 8, Ashurst, Blackrock, Co. Dublin", Co. Dublin,1 Bed,1 Bath,Apartment,40 m²,"€255,000",255000.0
"Colleen Bawn Store, Former Shop, Filling Station And Residence, Killimer, Co. Clare", Co. Clare,4 Bed,3 Bath,Detached,186 m²,"€240,000",240000.0
"The Rookery, 10 Stillorgan Grove, Blackrock, Co. Dublin", Co. Dublin,5 Bed,4 Bath,Detached,255 m²,"€1,400,000",1400000.0
"37 Castleheath, Malahide, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Apartment,64 m²,"€360,000",360000.0
"12 Glebewood, Ballivor, Co. Meath", Co. Meath,4 Bed,3 Bath,Detached,,"€275,000",275000.0
"La Rivera, Ballyboden Road, Rathfarnham, Dublin 14", Dublin 14,4 Bed,3 Bath,Detached,240 m²,"€975,000",975000.0
"8 Brookfield Terrace, Blackrock, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Terrace,103 m²,"€645,000",645000.0
"26 The Drive, Orlynn Park, Lusk, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Terrace,,"€330,000",330000.0
"Tichéin, North Esk, Glanmire, Co. Cork", Co. Cork,5 Bed,2 Bath,Detached,232 m²,"€395,000",395000.0
"48 Thornberry Square, Clonee, Dublin 15", Dublin 15,2 Bed,1 Bath,Apartment,60 m²,"€225,000",225000.0
"8 Laragh Beg, Ballon, Co. Carlow", Co. Carlow,4 Bed,4 Bath,Semi-D,154 m²,"€259,000",259000.0
"Cois Coille, Milltown, Piltown, Co. Kilkenny", Co. Kilkenny,4 Bed,2 Bath,Bungalow,140 m²,"€250,000",250000.0
"11 U D C Range, The Shannon, Enniscorthy, Co. Wexford", Co. Wexford,2 Bed,1 Bath,Terrace,40 m²,"€115,000",115000.0
"Eaton Lodge, Waterford Road, Tramore, Co. Waterford", Co. Waterford,4 Bed,3 Bath,Detached,264 m²,"€470,000",470000.0
"9 Collite Bo Loughglynn, Castlerea, Co. Roscommon", Co. Roscommon,3 Bed,3 Bath,Semi-D,116 m²,"€110,000",110000.0
"19 Herberton Park, Rialto, Dublin 8", Dublin 8,3 Bed,2 Bath,Semi-D,105 m²,"€450,000",450000.0
"Eastham House, Eastham Road, Bettystown, Co. Meath", Co. Meath,5 Bed,3 Bath,Detached,,"€925,000",925000.0
"Arthurstown, Ardee, Co. Louth", Co. Louth,4 Bed,3 Bath,Detached,297 m²,"€780,000",780000.0
"Riverview Lodge, 1 Riverview Terrace, Glenbrook, Passage West, Co. Cork", Co. Cork,5 Bed,2 Bath,End of Terrace,219 m²,"€520,000",520000.0
"Apartment 302, River Oaks, Ballisodare, Co. Sligo", Co. Sligo,3 Bed,2 Bath,Duplex,128 m²,"€199,000",199000.0
"12 Aylesbury Lodge, Navan, Co. Meath", Co. Meath,4 Bed,3 Bath,Semi-D,148 m²,"€335,000",335000.0
"Bannow Mews, Belgrave Avenue, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,170 m²,"€675,000",675000.0
"219 Griffith Avenue, Drumcondra, Dublin 3", Dublin 3,4 Bed,2 Bath,Semi-D,146 m²,"€925,000",925000.0
"63 Silk Park, Drogheda, Co. Louth", Co. Louth,3 Bed,3 Bath,Semi-D,110 m²,"€285,000",285000.0
"Ballynamona, Durrow, Tullamore, Co. Offaly", Co. Offaly,6 Bed,6 Bath,Detached,450 m²,"€595,000",595000.0
"12 The Cloisters, North Circular Road, Co. Limerick", Co. Limerick,4 Bed,4 Bath,Detached,255 m²,"€785,000",785000.0
"Wellfield, Mountrath Road, Portlaoise, Co. Laois", Co. Laois,3 Bed,2 Bath,Detached,197 m²,"AMV: €425,000",425000.0
"Windmill Road, Beauparc, Navan, Co. Meath", Co. Meath,4 Bed,3 Bath,Detached,230 m²,"€465,000",465000.0
"The Coach House, Eden Terrace, North Circular Road, Co. Limerick", Co. Limerick,3 Bed,2 Bath,Detached,147 m²,"€545,000",545000.0
"99 Bridge Water Quay, Islandbridge, Dublin 8", Dublin 8,3 Bed,2 Bath,Duplex,104 m²,"€395,000",395000.0
"Apartment 3, County Apartments, Carrick-on-Shannon, Co. Leitrim", Co. Leitrim,1 Bed,1 Bath,Apartment,46 m²,"€79,500",79500.0
"11 Ashbrook, Collooney, Co. Sligo", Co. Sligo,3 Bed,1 Bath,Semi-D,83 m²,"€170,000",170000.0
"8 Gort Na Sceithe, Ballybunion, Co. Kerry", Co. Kerry,5 Bed,5 Bath,Detached,,"€349,000",349000.0
"Tom Grant's House, Ballygorey, Carrigeen, Co. Kilkenny", Co. Kilkenny,1 Bed,1 Bath,Semi-D,25 m²,"€125,000",125000.0
"97 Naas Road, Inchicore, Dublin 8", Dublin 8,3 Bed,1 Bath,End of Terrace,98 m²,"€370,000",370000.0
"'Casa Mia' No. 36 Abington, Malahide, Co. Dublin", Co. Dublin,4 Bed,4 Bath,Detached,362 m²,"€2,350,000",2350000.0
"Harristown House, Harristown, Ardee, Co. Louth", Co. Louth,5 Bed,1 Bath,Detached,265 m²,AMV: Price on Application,0.0
"Taunus, 1A Dr Mannix Road, Salthill, Co. Galway", Co. Galway,6 Bed,1 Bath,Detached,193 m²,"€690,000",690000.0
"Disildo, Springhill, Carlow, Carlow Town, Co. Carlow", Co. Carlow,5 Bed,2 Bath,Bungalow,140 m²,"€249,950",249950.0
"42 Grattan Street, Co. Cork", Co. Cork,4 Bed,2 Bath,Terrace,104 m²,"€250,000",250000.0
"Baggotstown Manor, Baggotstown West, Bruff, Co. Limerick", Co. Limerick,4 Bed,5 Bath,Detached,644 m²,"€795,000",795000.0
"9 Abbotts Hill, Malahide, Co. Dublin", Co. Dublin,4 Bed,4 Bath,Detached,260 m²,"€1,950,000",1950000.0
"6 Goldenbridge Walk, Inchicore, Dublin 8", Dublin 8,3 Bed,1 Bath,Bungalow,108 m²,"€475,000",475000.0
"Lisnagar, Rathcormac, Co. Cork", Co. Cork,6 Bed,5 Bath,Detached,469 m²,"€1,500,000",1500000.0
"13 Seamount Abbey, Malahide, Co. Dublin", Co. Dublin,4 Bed,1 Bath,Detached,140 m²,"€750,000",750000.0
"Moylin House, Ballyweelin, Rosses Point, Co. Sligo", Co. Sligo,6 Bed,6 Bath,Detached,483 m²,"€1,375,000",1375000.0
"Dorn Hall, 18 Harbour Road, Skerries, Co. Dublin", Co. Dublin,6 Bed,4 Bath,Detached,372 m²,"€1,750,000",1750000.0
"1 Bruach Na Beithe, Ballycasheen, Killarney, Co. Kerry", Co. Kerry,3 Bed,3 Bath,Semi-D,115 m²,"€450,000",450000.0
"10 Talbot Downs, Castleknock, Dublin 15", Dublin 15,4 Bed,3 Bath,Semi-D,130 m²,"€565,000",565000.0
"95 Weirview Drive, Stillorgan, Co. Dublin", Co. Dublin,5 Bed,2 Bath,Semi-D,150 m²,"€795,000",795000.0
"111 Mulvey Park, Dundrum, Dublin 14", Dublin 14,2 Bed,1 Bath,Terrace,79 m²,"€395,000",395000.0
"8 Rose Gardens, Kells Road, Kilkenny, Co. Kilkenny", Co. Kilkenny,5 Bed,5 Bath,Detached,275 m²,"€750,000",750000.0
"3 Woodlands, Cahercalla Estate, Ennis, Co. Clare", Co. Clare,4 Bed,3 Bath,Semi-D,108 m²,"€230,000",230000.0
"14 Saint Joseph's Avenue, Drumcondra, Dublin 9", Dublin 9,2 Bed,1 Bath,Terrace,40 m²,"€315,000",315000.0
"61 The Paddocks, Glyntown, Glanmire, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,199 m²,"€545,000",545000.0
"The Paddock, Grangenolvin, Athy, Co. Kildare", Co. Kildare,5 Bed,3 Bath,Detached,307 m²,"€495,000",495000.0
"27 Barley Hill Court, Bohola, Co. Mayo", Co. Mayo,3 Bed,2 Bath,Semi-D,102 m²,"€167,000",167000.0
"Swallows Nest, Ballinaleck, Carrowmore Lacken, Killala, Co. Mayo", Co. Mayo,3 Bed,3 Bath,Detached,168 m²,"€250,000",250000.0
"15 Ardeevin Avenue, Lucan, Co. Dublin", Co. Dublin,5 Bed,2 Bath,Detached,160 m²,"€550,000",550000.0
"71 Hillcrest Drive, Lucan, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Semi-D,84 m²,"€335,000",335000.0
"27 Summerhill North, St. Lukes, Co. Cork", Co. Cork,3 Bed,1 Bath,Semi-D,74 m²,"€245,000",245000.0
"Clifford House, Ballinlough Road, Ballinlough, Co. Cork", Co. Cork,5 Bed,1 Bath,Detached,197 m²,"€825,000",825000.0
"46 Crann Nua, Edenderry Road, Portarlington, Co. Laois", Co. Laois,3 Bed,2 Bath,End of Terrace,100 m²,"€145,000",145000.0
"4 Lambert Court, Athenry, Co. Galway", Co. Galway,4 Bed,2 Bath,Detached,109 m²,"€265,000",265000.0
"Sragh Road, Tullamore, Co. Offaly", Co. Offaly,4 Bed,2 Bath,Semi-D,109 m²,"€240,000",240000.0
"Sunnyside Cottage, Puttaghaun, Tullamore, Co. Offaly", Co. Offaly,3 Bed,1 Bath,Bungalow,82 m²,"€250,000",250000.0
"21 Brookdale Court, Swords, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Semi-D,,"€370,000",370000.0
"5 Cedar Grove, Ridgewood, Swords, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Terrace,,"€350,000",350000.0
"Mullins Lane Carlow, Carlow Town, Co. Carlow", Co. Carlow,5 Bed,5 Bath,Detached,275 m²,"€475,000",475000.0
"15 Glashaboy Woods, Sallybrook, Glanmire, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,,"€570,000",570000.0
"Knocknacroagha, Ballinrobe, Co. Mayo", Co. Mayo,4 Bed,4 Bath,Detached,200 m²,"€295,000",295000.0
"Lislee, Briar Hill, Waterfall, Co. Cork", Co. Cork,3 Bed,1 Bath,Bungalow,70 m²,"€275,000",275000.0
"4 Saint Mary's Terrace, Wolf Tone Street, Co. Cork", Co. Cork,3 Bed,1 Bath,Terrace,90 m²,"€230,000",230000.0
"29 Northbrook Avenue Lower, North Strand, Dublin 3", Dublin 3,3 Bed,1 Bath,Terrace,115 m²,"€400,000",400000.0
"Apartment 147, Block B, The Timber Mill, Artane, Dublin 5", Dublin 5,2 Bed,1 Bath,Apartment,54 m²,"€285,000",285000.0
"2 Arbour Terrace, Stoneybatter, Dublin 7", Dublin 7,2 Bed,1 Bath,End of Terrace,85 m²,"€420,000",420000.0
"Cregane, Lombardstown, Mallow, Co. Cork", Co. Cork,5 Bed,3 Bath,Detached,211 m²,"€360,000",360000.0
"Ballinruan, Templetown, Fethard-On-Sea, Co. Wexford", Co. Wexford,,,Site,0.56 ac,"€149,500",149500.0
"Oakdale, Lisduff, Clonlara, Co. Clare", Co. Clare,4 Bed,2 Bath,Detached,,"€350,000",350000.0
"Ballygunnermore, Ballygunner, Co. Waterford", Co. Waterford,4 Bed,4 Bath,Detached,300 m²,"€650,000",650000.0
"23 An Cuainé­n, Tuar Na Mblath",,3 Bed,2 Bath,Terrace,85 m²,"€165,000",165000.0
"62 The Way, Dunboyne Castle, Dunboyne, Co. Meath", Co. Meath,2 Bed,2 Bath,Apartment,74 m²,"€235,000",235000.0
"Millview Lodge, Millview Road, Malahide, Co. Dublin", Co. Dublin,5 Bed,2 Bath,Bungalow,145 m²,"€925,000",925000.0
Borness,,3 Bed,2 Bath,Detached,244 m²,"AMV: €300,000",300000.0
"14 Kempton Court, Cavan, Co. Cavan", Co. Cavan,2 Bed,2 Bath,Apartment,111 m²,"€120,000",120000.0
"Muff, Castlecoote, Co. Roscommon", Co. Roscommon,2 Bed,1 Bath,Detached,102 m²,"€195,000",195000.0
"Aghmagree, Kilteevan, Co. Roscommon", Co. Roscommon,2 Bed,1 Bath,Detached,,Price on Application,0.0
"Belcruit, Burtonport, Co. Donegal", Co. Donegal,3 Bed,2 Bath,Detached,115 m²,Price on Application,0.0
"Apartment 106, The Forum, Ballymoss Road, Sandyford, Dublin 18", Dublin 18,2 Bed,2 Bath,Apartment,60 m²,"€390,000",390000.0
"Greenville, South Circular Road, Co. Limerick", Co. Limerick,5 Bed,2 Bath,Detached,189 m²,"€585,000",585000.0
"62 Marian Park, Dundalk, Co. Louth", Co. Louth,4 Bed,3 Bath,Terrace,,"€165,000",165000.0
"5 Ballycasheen Road, Killarney, Co. Kerry", Co. Kerry,4 Bed,1 Bath,Detached,149 m²,"€385,000",385000.0
"Slaney Manor, Barntown, Co. Wexford", Co. Wexford,43 Bed,47 Bath,Detached,3240 m²,"€1,950,000",1950000.0
"8 Windy Heights, Letterkenny, Co. Donegal", Co. Donegal,2 Bed,1 Bath,Apartment,72 m²,"€169,000",169000.0
"32 Saint Francis Terrace, Kilkenny, Co. Kilkenny", Co. Kilkenny,3 Bed,1 Bath,Terrace,92 m²,"€205,000",205000.0
"Laragh House, Anne Street, Dundalk, Co. Louth", Co. Louth,3 Bed,1 Bath,Detached,143 m²,"€320,000",320000.0
"Johnny Moloney's Bend, Modeshill, Callan, Co. Kilkenny", Co. Kilkenny,3 Bed,1 Bath,Detached,115 m²,"€250,000",250000.0
"Glengall, Ballingarry, Co. Tipperary", Co. Tipperary,5 Bed,3 Bath,Detached,167 m²,"€325,000",325000.0
"Radeerpark, Newbliss, Co. Monaghan", Co. Monaghan,3 Bed,2 Bath,Detached,134 m²,"€170,000",170000.0
"Gortnagross, Athea, Co. Limerick", Co. Limerick,,,Site,0.29 ac,"€65,000",65000.0
"10 Kirkwood Villas, Cobh, Co. Cork", Co. Cork,4 Bed,1 Bath,Terrace,,"€240,000",240000.0
"27 Ballynoe Mews, Cobh, Co. Cork", Co. Cork,2 Bed,1 Bath,Terrace,67 m²,"€198,000",198000.0
"Apartment 9, Rathborne Court, Ashtown, Dublin 15", Dublin 15,2 Bed,2 Bath,Apartment,74 m²,"€287,500",287500.0
"Seireannes View, Roshine, Killybegs, Co. Donegal", Co. Donegal,6 Bed,4 Bath,Detached,223 m²,"€345,000",345000.0
"Glengesh, Ardara, Co. Donegal", Co. Donegal,6 Bed,2 Bath,Detached,226 m²,"€255,000",255000.0
"Bayview, Ballystraw, Duncannon, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Detached,110 m²,"€375,000",375000.0
"Saint Mildred's, Church Street, Lahinch, Co. Clare", Co. Clare,7 Bed,6 Bath,Townhouse,205 m²,"€495,000",495000.0
"69 Foxwood, Swords, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,,"€385,000",385000.0
"Scart, Cappagh, Dungarvan, Co. Waterford", Co. Waterford,4 Bed,1 Bath,Bungalow,175 m²,"€320,000",320000.0
"81 Lios Ard, Tulla Road, Ennis, Co. Clare", Co. Clare,3 Bed,3 Bath,Semi-D,110 m²,"€215,000",215000.0
"6 Meadowlands, Ennis, Co. Clare", Co. Clare,2 Bed,1 Bath,Semi-D,71 m²,"€170,000",170000.0
"Golden Grove, 9 Linden Avenue, Blackrock, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,111 m²,"€410,000",410000.0
"36 Blackbush Avenue, Bryanstown, Drogheda, Co. Louth", Co. Louth,3 Bed,2 Bath,Detached,120 m²,"€290,000",290000.0
"Britway, Castlelyons, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,98 m²,"€245,000",245000.0
"21 Lyons Avenue South, Newcastle, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Townhouse,116 m²,"€280,000",280000.0
"12 Churchfield, The K Club, Straffan, Co. Kildare", Co. Kildare,4 Bed,4 Bath,Detached,449 m²,"€1,850,000",1850000.0
"Bramling, Lackenroe, Glounthaune, Co. Cork", Co. Cork,5 Bed,3 Bath,Detached,246 m²,"€435,000",435000.0
"39 Highfield Crescent, Kanturk, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,125 m²,"€250,000",250000.0
"Apartment 17, Pavillion 2, Dun Laoghaire, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Apartment,81 m²,"€525,000",525000.0
"6 Foyle Road, Fairview, Dublin 3", Dublin 3,3 Bed,1 Bath,Terrace,131 m²,"€595,000",595000.0
"Vista House, Hamlinstown, Monasterboice, Co. Louth", Co. Louth,4 Bed,2 Bath,Detached,220 m²,"€650,000",650000.0
"4 Hermitage Gardens, Lucan, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Detached,118 m²,"€395,000",395000.0
"Ballintotis, Midleton, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,,"€179,500",179500.0
"1 Riverside, Ballyboughal, Co. Dublin", Co. Dublin,4 Bed,2 Bath,Bungalow,,"€590,000",590000.0
"Kiel, Macroom, Co. Cork", Co. Cork,2 Bed,2 Bath,Detached,96 m²,"€320,000",320000.0
"165 Cianlea, Swords, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Terrace,84 m²,"€330,000",330000.0
"18 Rose Lawn, Togher Road, Togher (Cork City), Co. Cork", Co. Cork,3 Bed,1 Bath,Semi-D,107 m²,"€265,000",265000.0
"Tree Tops, Claremont Road, Howth, Dublin 13", Dublin 13,5 Bed,3 Bath,Detached,341 m²,"€1,800,000",1800000.0
"Muingaphuca, Caragh Lake, Killorglin, Co. Kerry", Co. Kerry,4 Bed,1 Bath,Bungalow,1 m²,"€300,000",300000.0
"Slieveowen, Kilmichael, Macroom, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,110 m²,"€154,950",154950.0
"Bayside, Aughadown, Skibbereen, Co. Cork", Co. Cork,4 Bed,2 Bath,Detached,,"€395,000",395000.0
"7 Thorndale Estate, Dublin Hill, Blackpool, Co. Cork", Co. Cork,3 Bed,1 Bath,End of Terrace,87 m²,"€245,000",245000.0
"90 Barleyfield, Wicklow Hills, Newtownmountkennedy, Co. Wicklow", Co. Wicklow,4 Bed,2 Bath,Semi-D,133 m²,"€410,000",410000.0
"9 St Patrick's Terrace, Donabate, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Semi-D,126 m²,"€395,000",395000.0
"16 Cois Lé­, Ballyvelly, Tralee, Co. Kerry", Co. Kerry,3 Bed,3 Bath,Semi-D,,"€190,000",190000.0
"26 Blackhall Place, Stoneybatter, Dublin 7", Dublin 7,3 Bed,1 Bath,Terrace,78 m²,"€370,000",370000.0
"9 Allendale Terrace, Clonsilla, Dublin 15", Dublin 15,2 Bed,2 Bath,Terrace,78 m²,"€290,000",290000.0
"13 Eastly Court, College Wood, Mallow, Co. Cork", Co. Cork,3 Bed,3 Bath,Semi-D,,"€217,500",217500.0
"Ard Na Domhain, Newcastle, Co. Wicklow", Co. Wicklow,5 Bed,4 Bath,Detached,,"€725,000",725000.0
"Dooneen, Kilmeadan, Co. Waterford", Co. Waterford,5 Bed,5 Bath,Detached,288 m²,"€550,000",550000.0
"Highfield, Ballinderry, Mullingar, Co. Westmeath", Co. Westmeath,4 Bed,3 Bath,Detached,,"€384,950",384950.0
"Creggane, Lombardstown, Mallow, Co. Cork", Co. Cork,5 Bed,3 Bath,Detached,242 m²,"€360,000",360000.0
"26 Oak Grove, Kingscourt, Co. Cavan", Co. Cavan,3 Bed,3 Bath,End of Terrace,124 m²,"€189,000",189000.0
"Hillview, Cloonybrennan, Elphin, Co. Roscommon", Co. Roscommon,2 Bed,2 Bath,Detached,111 m²,"€160,000",160000.0
"49 No.  New Road, Birr, Co. Offaly", Co. Offaly,3 Bed,2 Bath,End of Terrace,,Price on Application,0.0
"18 Parkrise, Moorpark Street, Birr, Co. Offaly", Co. Offaly,2 Bed,2 Bath,Detached,,Price on Application,0.0
"42 Springfield Park, Foxrock, Dublin 18", Dublin 18,4 Bed,2 Bath,Detached,176 m²,"€895,000",895000.0
"42 Twin Oaks, Bailieborough, Co. Cavan., Co. Cavan", Co. Cavan,4 Bed,3 Bath,Semi-D,,"€155,000",155000.0
"4 Corleagh Apartments, Church Lane, Bailieborough, Co. Cavan", Co. Cavan,3 Bed,3 Bath,Semi-D,,"€149,500",149500.0
"Hortland, Donadea, Co. Kildare", Co. Kildare,4 Bed,2 Bath,Bungalow,147 m²,"€440,000",440000.0
"Rathluby, Kilmurry, Co. Clare", Co. Clare,,,Site,2 ac,Price on Application,0.0
"Ardamagh, Kilmainhamwood, Co. Meath", Co. Meath,4 Bed,2 Bath,Detached,181 m²,"€339,000",339000.0
"37 Hawthorn Drive, Roscommon Town, Co. Roscommon", Co. Roscommon,5 Bed,1 Bath,Bungalow,128 m²,"€220,000",220000.0
"27 Dursey Row, Blanchardstown, Dublin 15", Dublin 15,2 Bed,2 Bath,Apartment,80 m²,"€265,000",265000.0
"Drinan, Ballymahon, Co. Longford", Co. Longford,2 Bed,1 Bath,Detached,62 m²,"€145,000",145000.0
"Apartment 510, Maritana Gate, Co. Waterford", Co. Waterford,2 Bed,2 Bath,Apartment,61 m²,"€125,000",125000.0
"2 Marconi Place, Fairfield, Enniscorthy, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Terrace,106 m²,"€185,000",185000.0
"Bluepool Lower, Kanturk, Co. Cork", Co. Cork,3 Bed,1 Bath,Semi-D,,"€100,000",100000.0
"Charleville House, Cromane Lower, Killorglin, Co. Kerry", Co. Kerry,4 Bed,4 Bath,Detached,1 m²,"€350,000",350000.0
"392 BLOCK 21C, Marina Village, Malahide, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,70 m²,"€480,000",480000.0
"Fennor, Turin, Mullingar, Co. Westmeath", Co. Westmeath,5 Bed,3 Bath,Detached,,"€525,000",525000.0
"Redbarn, Youghal, Co. Cork", Co. Cork,3 Bed,3 Bath,Detached,20 m²,"€600,000",600000.0
"1 Prospect Villas, Upper Road, Crosshaven, Co. Cork", Co. Cork,7 Bed,5 Bath,Semi-D,287 m²,"€690,000",690000.0
"Highgarden, Bishop's Lane, Kilternan, Dublin 18", Dublin 18,5 Bed,4 Bath,Detached,488 m²,"€1,395,000",1395000.0
"Atlantic House, 4 Atlantic Terrace, Ballycotton, Co. Cork", Co. Cork,5 Bed,2 Bath,Terrace,234 m²,"€550,000",550000.0
"16 Duffry Gate, Enniscorthy, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Terrace,,"€155,000",155000.0
"36 Maryborough Court, Douglas, Co. Cork", Co. Cork,5 Bed,3 Bath,Detached,147 m²,"€520,000",520000.0
"12 & 12 A Chestnut Grove, Letterkenny, Co. Donegal", Co. Donegal,4 Bed,4 Bath,Semi-D,125 m²,"€179,950",179950.0
"Stripe, Milltown, Co. Galway", Co. Galway,3 Bed,2 Bath,Detached,102 m²,"€230,000",230000.0
"52 Meadow Grove, Westwood, Carrigaline, Co. Cork", Co. Cork,4 Bed,4 Bath,Semi-D,136 m²,"€345,000",345000.0
"Kingsbury, Douglas East, Douglas, Co. Cork", Co. Cork,3 Bed,4 Bath,End of Terrace,108 m²,"€395,000",395000.0
"Moonfleet, Garrowhill",,5 Bed,4 Bath,Detached,211 m²,"€495,000",495000.0
"4 Rustic Road, The Grange, Co. Waterford", Co. Waterford,3 Bed,3 Bath,Semi-D,125 m²,"€275,000",275000.0
"Roske Lodge, Rickardstown, Newbridge, Co. Kildare", Co. Kildare,5 Bed,4 Bath,Detached,353 m²,"AMV: €600,000",600000.0
"4 Linn Cuin, Old Road, Rush, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,,"€330,000",330000.0
"2 Colliers Way, Portlaoise, Co. Laois", Co. Laois,4 Bed,2 Bath,Detached,,"€299,000",299000.0
"Saint Anthonys, Ridge Road, Portlaoise, Co. Laois", Co. Laois,4 Bed,2 Bath,Detached,152 m²,"€350,000",350000.0
"6 Garraí Glas, Corofin, Co. Galway", Co. Galway,4 Bed,3 Bath,Detached,123 m²,"€280,000",280000.0
"The Rise, Bishopstown, Co. Cork", Co. Cork,4 Bed,2 Bath,Semi-D,171 m²,Price on Application,0.0
"29 Pebble Drive, Pebble Beach, Tramore, Co. Waterford", Co. Waterford,2 Bed,2 Bath,Apartment,,"€175,000",175000.0
"3 Bakers Close, Lusk, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Terrace,72 m²,"€275,000",275000.0
"7 Kevin's Park, Littleton, Co. Tipperary", Co. Tipperary,3 Bed,1 Bath,Semi-D,85 m²,Price on Application,0.0
"White House, Leemount, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,272 m²,"€695,000",695000.0
"26 Red Arches Drive, The Coast, Baldoyle, Dublin 13", Dublin 13,3 Bed,3 Bath,Terrace,113 m²,"€349,950",349950.0
"13 Avonvale Hall, Wicklow Town, Co. Wicklow", Co. Wicklow,5 Bed,6 Bath,Detached,312 m²,"€800,000",800000.0
"4 Knockrabo Park, Mount Anville Road, Goatstown, Dublin 14", Dublin 14,5 Bed,4 Bath,Semi-D,245 m²,"€1,375,000",1375000.0
